timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637062439173,1527,HTTP Request,200,OK,Thread Group 1-1,text,true,,106283,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,173,0,92
1637062439173,175,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,550,122,4,4,http://google.com/classroom,173,0,92
1637062439349,493,HTTP Request-1,301,Moved Permanently,Thread Group 1-1,text,true,,717,126,4,4,https://www.google.com/classroom,493,0,410
1637062439842,349,HTTP Request-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1917,123,4,4,https://classroom.google.com/,348,0,162
1637062440191,509,HTTP Request-3,200,OK,Thread Group 1-1,text,true,,103099,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,320,0,168
1637062439601,1218,HTTP Request,200,OK,Thread Group 1-2,text,true,,106233,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,136,0,68
1637062439601,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,558,122,3,3,http://google.com/classroom,136,0,68
1637062439738,227,HTTP Request-1,301,Moved Permanently,Thread Group 1-2,text,true,,725,126,3,3,https://www.google.com/classroom,227,0,155
1637062439965,362,HTTP Request-2,302,Moved Temporarily,Thread Group 1-2,text,true,,1917,123,3,3,https://classroom.google.com/,362,0,171
1637062440328,491,HTTP Request-3,200,OK,Thread Group 1-2,text,true,,103033,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,301,0,156
1637062440098,1199,HTTP Request,200,OK,Thread Group 1-3,text,true,,105518,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,70
1637062440098,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,558,122,3,3,http://google.com/classroom,142,0,70
